,smiley,word,congruence,onset,rt,resp,correct
15,angry,angry,congruent,1.094973363011377,,,
2,happy,happy,congruent,3.1213905720214825,0.3209927150164731,left,1.0
11,angry,happy,incongruent,5.151857287011808,0.3888434339896776,right,1.0
5,happy,angry,incongruent,7.182036236015847,0.23740343598183244,left,1.0
0,happy,happy,congruent,9.199606096022762,0.2587231599900406,right,0.0
6,happy,angry,incongruent,11.229995435016463,0.2649878109805286,left,1.0
13,angry,happy,incongruent,13.268658515997231,0.3888260659878142,left,0.0
7,happy,angry,incongruent,15.29700903801131,0.30068308699992485,left,1.0
9,happy,angry,incongruent,17.3327299010125,0.41731173201696947,left,1.0
4,happy,happy,congruent,19.36623810301535,0.4620678979845252,left,1.0
14,angry,happy,incongruent,21.40165531099774,0.7003367400029674,right,1.0
19,angry,angry,congruent,23.43279874100699,0.31040720801684074,right,1.0
1,happy,happy,congruent,25.466948932997184,0.3701422960148193,left,1.0
10,angry,happy,incongruent,27.502507755998522,0.523885682981927,left,0.0
3,happy,happy,congruent,29.533262962999288,0.27748301698011346,right,0.0
16,angry,angry,congruent,31.553139238007134,0.5885472319787368,left,0.0
8,happy,angry,incongruent,33.579684757016366,0.015988222003215924,right,0.0
18,angry,angry,congruent,35.59916243099724,0.31010844599222764,right,1.0
17,angry,angry,congruent,37.63629901999957,0.27282495601684786,left,0.0
12,angry,happy,incongruent,39.668564485997194,0.3260952290147543,left,0.0
